{'R_i': 0.01,
 'h_fc': 0.005,
 'R_s': 0.1,
 'R_o': 0.04,
 'R_e': 0.3,
 'n_II': 2,
 'n_IV': 4,
 'phi_C_II': 15,
 'mu_r_II': 1.05,
 'mu_r_IV': 1.05,
 'linear_iron': 1,
 'mu_r_iron': 5000.0,
 'F_M[%]': 35.0}

phi_S[deg]	h_gap[mm]	B_max[T]	K[]
35.0	15.000	1.000	0.016470
45.0	15.000	1.000	0.001041
55.0	15.000	1.000	0.002410
35.0	16.000	1.000	0.018146
45.0	16.000	1.000	0.001217
55.0	16.000	1.000	0.002466
35.0	17.000	1.000	0.019702
45.0	17.000	1.000	0.001186
55.0	17.000	1.000	0.002096
35.0	18.000	1.000	0.020848
45.0	18.000	1.000	0.001100
55.0	18.000	1.000	0.001036
35.0	19.000	1.000	0.023271
45.0	19.000	1.000	0.001262
55.0	19.000	1.000	0.001141
35.0	20.000	1.000	0.026116
45.0	20.000	1.000	0.001033
55.0	20.000	1.000	0.001431
35.0	21.000	1.000	0.029907
45.0	21.000	1.000	0.001195
55.0	21.000	1.000	0.002095
35.0	22.000	1.000	0.034544
45.0	22.000	1.000	0.001712
55.0	22.000	1.000	0.002928
35.0	23.000	1.000	0.041297
45.0	23.000	1.000	0.002409
55.0	23.000	1.000	0.004317
35.0	24.000	1.000	0.045723
45.0	24.000	1.000	0.004035
55.0	24.000	1.000	0.005586
35.0	25.000	1.000	0.050748
45.0	25.000	1.000	0.006320
55.0	25.000	1.000	0.007406
35.0	15.000	1.010	0.016984
45.0	15.000	1.010	0.001492
55.0	15.000	1.010	0.002230
35.0	16.000	1.010	0.018929
45.0	16.000	1.010	0.001216
55.0	16.000	1.010	0.002255
35.0	17.000	1.010	0.020677
45.0	17.000	1.010	0.001187
55.0	17.000	1.010	0.000955
35.0	18.000	1.010	0.021911
45.0	18.000	1.010	0.001099
55.0	18.000	1.010	0.001029
35.0	19.000	1.010	0.024579
45.0	19.000	1.010	0.001271
55.0	19.000	1.010	0.001229
35.0	20.000	1.010	0.027478
45.0	20.000	1.010	0.001059
55.0	20.000	1.010	0.001598
35.0	21.000	1.010	0.031546
